,name1,name2,id1,id2,similarity_score
0,robert s anderson,robert a anderson,A5082959453,A5110421473,94
1,robert s anderson,robert anderson,A5082959453,A5109465847,94
2,robert a anderson,robert anderson,A5110421473,A5109465847,94
3,muhammad arshad,muhammad asjad,A5100730164,A5062236313,90
4,robert andrews,i robert andrews,A5101814632,A5111622140,93
5,d m allen,d w allen,A5054654443,A5105422337,89
6,ahmed al‐rawi,ahmed al-rawi,A5050245548,A5101544105,92
7,sikandar aftab,sikander aftab,A5010456395,A5104020592,93
8,sikandar aftab,sikandir aftab,A5010456395,A5036006797,93
9,usman ahmed,ausama ahmed,A5091198094,A5010962102,87
10,usman ahmed,simran ahmed,A5091198094,A5065397864,87
11,thomas archibald,tom archibald,A5039253521,A5110009414,90
12,carla l atkinson,laura l atkinson,A5042440760,A5008971788,88
13,ali arya,ali arab,A5063242852,A5027487569,88
14,lara b aknin,lara aknin,A5027537535,A5099266254,91
15,ryan w allen,r w allen,A5039444427,A5110176535,86
16,ryan w allen,ryan allen,A5039444427,A5075584709,91
17,don alexander,diana alexander,A5029268334,A5038555022,86
18,kathryn anderson,kathryn m anderson,A5046911202,A5088060456,94
19,mohammad amani,mohammad ahadi,A5049575126,A5081310781,86
20,benjamin m anderson,benjamin anderson,A5102767692,A5009879968,94
21,r w allen,r e allen,A5110176535,A5113839449,89
22,r w allen,d w allen,A5110176535,A5105422337,89
23,gail anderson,gail s anderson,A5111367944,A5046194198,93
24,vinícius c azevedo,vinicius c azevedo,A5112368463,A5103260690,94
25,sarah k anderson,sarah l anderson,A5075739123,A5102875952,94
26,jillian anderson,ian anderson,A5042564012,A5037293675,86
27,jillian anderson,gillian andersen,A5042564012,A5069603536,88
28,ivan aguilar,ivan a aguliar,A5023806007,A5035463939,85
29,clifford gordon atleo,clifford g atleo,A5041286599,A5040940303,86
30,ian anderson,aspen anderson,A5037293675,A5019882570,85
31,ian anderson,kieran anderson,A5037293675,A5130962923,89
32,heather j alexander,heather alexander,A5053194128,A5134686741,94
33,joshua d alampi,josh alampi,A5005530879,A5064096264,85
34,a m anderson,sam anderson,A5043746917,A5033020866,92
35,pouya ahmadvand,payam ahmadvand,A5000174243,A5060052428,87
36,caitlyn andres,kaitlyn andres,A5068467297,A5001797791,93
37,sc anderson,sean c anderson,A5018170382,A5101957746,85
38,sc anderson,sam anderson,A5018170382,A5033020866,87
39,quiana r ang,quiana ang,A5021774910,A5119928065,91
40,sikander aftab,sikandir aftab,A5104020592,A5036006797,93
41,robert s brown,robert c brown,A5091130570,A5026791771,93
42,john h borden,j h borden,A5074800507,A5078233358,87
43,david h bailey,david n bailey,A5081580336,A5010258270,93
44,robert w butler,robert g boutilier,A5083865478,A5005154927,85
45,angela brooks‐wilson,angela brooks-wilson,A5003358207,A5126470113,95
46,angela brooks‐wilson,angela r brooks-wilson,A5003358207,A5122482003,90
47,éric beauregard,eric beauregarda,A5059754376,A5117506029,90
48,michael boyle,michael byrne,A5100763335,A5021894365,85
49,michael boyle,michael h boyle,A5100763335,A5052503374,93
50,majid bahrami,majid bagheri,A5046695460,A5089113551,85
51,t brunner,todd brunner,A5061723548,A5079113240,86
52,peter brang,peter berg,A5001103795,A5101827934,86
53,william f bennett,william r bennett,A5077574182,A5103435725,94
54,richard boyer,richard buote,A5111926095,A5005367658,85
55,s bose,s k bose,A5003323418,A5052789698,86
56,michael berg,michael bamberg,A5057617939,A5019184400,89
